timestamp,rule_id,chapter,rule_type,verdict,confidence,n_occurrences,in_sample_pass,out_of_sample_pass,cross_instrument_pass,cross_instrument_count,deflated_sharpe,deflated_sharpe_pass,sharpe_delta,scorecard_pass_count,tyler_required,tyler_validated,explanation
2026-03-18T21:48:05.076180,C-MSA-01,CH01,C,INTERNAL_PASS,0.8571,735,True,True,True,3,0.096,True,0.12,4,true,False,Rule C-MSA-01 passes all empirical gates (6/6). Sharpe delta +0.1200. INTERNAL WINNER â€” awaiting Tyler validation for Canon status.
2026-03-18T21:48:05.082007,C-MSA-02,CH01,C,INTERNAL_PASS,0.8571,735,True,True,True,3,0.096,True,0.12,4,true,False,Rule C-MSA-02 passes all empirical gates (6/6). Sharpe delta +0.1200. INTERNAL WINNER â€” awaiting Tyler validation for Canon status.
2026-03-18T21:48:05.086978,C-MSA-03,CH01,C,INTERNAL_PASS,0.8571,735,True,True,True,3,0.096,True,0.12,4,true,False,Rule C-MSA-03 passes all empirical gates (6/6). Sharpe delta +0.1200. INTERNAL WINNER â€” awaiting Tyler validation for Canon status.
2026-03-18T21:48:05.091089,C-MSA-04,CH01,C,INTERNAL_PASS,0.8571,735,True,True,True,3,0.096,True,0.12,4,true,False,Rule C-MSA-04 passes all empirical gates (6/6). Sharpe delta +0.1200. INTERNAL WINNER â€” awaiting Tyler validation for Canon status.
2026-03-18T21:48:05.094504,C-MSA-06,CH01,C,INTERNAL_PASS,0.8571,735,True,True,True,3,0.096,True,0.12,4,true,False,Rule C-MSA-06 passes all empirical gates (6/6). Sharpe delta +0.1200. INTERNAL WINNER â€” awaiting Tyler validation for Canon status.
2026-03-18T21:49:44.007663,C-MSA-01,CH01,C,INTERNAL_PASS,0.8571,735,True,True,True,3,0.096,True,0.12,4,true,False,Rule C-MSA-01 passes all empirical gates (6/6). Sharpe delta +0.1200. INTERNAL WINNER — awaiting Tyler validation for Canon status.
2026-03-18T21:49:44.007663,C-MSA-02,CH01,C,INTERNAL_PASS,0.8571,735,True,True,True,3,0.096,True,0.12,4,true,False,Rule C-MSA-02 passes all empirical gates (6/6). Sharpe delta +0.1200. INTERNAL WINNER — awaiting Tyler validation for Canon status.
2026-03-18T21:49:44.007663,C-MSA-03,CH01,C,INTERNAL_PASS,0.8571,735,True,True,True,3,0.096,True,0.12,4,true,False,Rule C-MSA-03 passes all empirical gates (6/6). Sharpe delta +0.1200. INTERNAL WINNER — awaiting Tyler validation for Canon status.
2026-03-18T21:49:44.007663,C-MSA-04,CH01,C,INTERNAL_PASS,0.8571,735,True,True,True,3,0.096,True,0.12,4,true,False,Rule C-MSA-04 passes all empirical gates (6/6). Sharpe delta +0.1200. INTERNAL WINNER — awaiting Tyler validation for Canon status.
2026-03-18T21:49:44.007663,C-MSA-06,CH01,C,INTERNAL_PASS,0.8571,735,True,True,True,3,0.096,True,0.12,4,true,False,Rule C-MSA-06 passes all empirical gates (6/6). Sharpe delta +0.1200. INTERNAL WINNER — awaiting Tyler validation for Canon status.
